OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",Stream,,01090001,0.73,sq mi,0.73,sq mi,42.41981770000000,-71.2575565000000,24000,1,seconds,Interpolated from MAP.,NAD83,179.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",Stream,,01090001,6.86,sq mi,6.86,sq mi,42.39815120000000,-71.2733903000000,24000,1,seconds,Interpolated from MAP.,NAD83,149.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104453,STONY BROOK UNNAMED TRIB 2 NR WESTON STATION,Stream,,01090001,2.23,sq mi,,,42.37138889000000,-71.2752777800000,25000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",Stream,,01090001,0.48,sq mi,,,42.37259606000000,-71.2703344800000,25000,1,seconds,Interpolated from MAP.,NAD83,84.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",Stream,,01090001,22.0,sq mi,22.0,sq mi,42.36898500000000,-71.2706123000000,24000,1,seconds,Interpolated from MAP.,NAD83,89.20,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",Stream,,01090001,0.85,sq mi,,,42.35454080000000,-71.2681121000000,,1,seconds,Interpolated from MAP.,NAD83,99.20,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01105000,"NEPONSET RIVER AT NORWOOD, MA",Stream,,01090001,34.7,sq mi,34.7,sq mi,42.17759870000000,-71.2008863000000,25000,1,seconds,Interpolated from MAP.,NAD83,43.25,feet,.01,feet,Level or other surveyed method.,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",Stream,,01090001,28.7,sq mi,28.7,sq mi,42.22093308000000,-70.9781026000000,24000,1,seconds,Interpolated from MAP.,NAD83,4.20,feet,5.0,feet,Interpolated from topographic map.,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01105587,"MILL RIVER NEAR RANDOLPH ST, SOUTH WEYMOUTH MA",Stream,,01090001,,,,,42.17035000000000,-70.9604083000000,,.5,seconds,Interpolated from Digital MAP.,NAD83,137,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",Stream,,01090001,4.50,sq mi,4.50,sq mi,42.19037790000000,-70.9447679000000,25000,Unknown,Unknown,Interpolated from MAP.,NAD83,69.21,feet,10,feet,Unknown.,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-420959070580401,WEYMOUTH DRINKING WATER TREATMENT PLANT EFFLUENT,Facility: Outfall,,01090001,,,,,42.16636389000000,-70.9678250000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-421004070580201,"GREAT POND NR OUTLET, SHALLOW, SOUTH WEYMOUTH MA","Lake, Reservoir, Impoundment",,01090001,,,,,42.16789444000000,-70.9671361000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,159,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-421004070580202,"GREAT POND NR OUTLET, DEEP, SOUTH WEYMOUTH MA","Lake, Reservoir, Impoundment",,01090001,,,,,42.16789444000000,-70.9671361000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,159,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-421650071120401,"MA-HWY-I95S-HMA-STATION 00567 NEEDHAM, MA",Facility: Storm sewer,,01090001,,,,,42.28048056000000,-71.2012500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,108,feet,5,feet,Interpolated from topographic map.,NAVD88,US,25,021,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-421652071120601,"MA-HWY-I95S-OGFC-STATION 00568 NEEDHAM, MA",Facility: Storm sewer,,01090001,,,,,42.28123056000000,-71.2017888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,110,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,25,021,,,,,20180913,,,,,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-420434071225001,MA-F2W   79,Well,,01090001,,,,,42.07608610000000,-71.3801306000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,273,feet,1,feet,Level or other surveyed method.,NGVD29,US,25,021,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,1989,29.5,ft,29.5,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-420644071260701,"MA-F2W 64 FRANKLIN, MA",Well,,01090001,,,,,42.11238330000000,-71.4353750000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,196.8,feet,5.0,feet,Interpolated from topographic map.,NGVD29,US,25,021,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19981001,32.0,ft,32,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-421744071115201,"MA-NMW    9 NEWTON, MA",Well,,01090001,,,,,42.29566389000000,-71.1977250000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,98.4,feet,5.0,feet,Interpolated from topographic map.,NGVD29,US,25,017,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19981006,24,ft,27,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-423247071031301,"MA-L6W   91 LYNNFIELD, MA",Well,,01090001,,,,,42.54626667000000,-71.0536444000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,79.5,feet,0.5,feet,Level or other surveyed method.,NGVD29,US,25,009,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Confined single aquifer,1980,63,ft,63,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-423548071074901,MA-N3W  234,Well,,01090001,,,,,42.59655278000000,-71.1303027800000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,93,feet,10,feet,Global Positioning System.,NGVD29,US,25,017,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19841130,59,ft,59,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-423713070481301,MA-EXW   11,Well,,01090001,,,,,42.62050556000000,-70.8032500000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,10,feet,Global Positioning System.,NGVD29,US,25,009,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,,39,ft,39,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-423916070562401,"MA-TQW 107 TOPSFIELD, MA",Well,,01090001,,,,,42.65436110000000,-70.9401527800000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,69,feet,5,feet,Global Positioning System.,NGVD29,US,25,009,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19981022,30,ft,30,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-423927070530501,MA-IPW  340,Well,,01090001,,,,,42.65742220000000,-70.8846000000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45,feet,10,feet,Global Positioning System.,NGVD29,US,25,009,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,,58,ft,58,ft,NWIS
USGS-NH,USGS New Hampshire Water Science Center,USGS-424012070581101,"MA-BJW  295 BOXFORD, MA",Well,,01090001,,,,,42.67006110000000,-70.9696000000000,25000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,69.,feet,5.,feet,Interpolated from topographic map.,NGVD29,US,25,009,Sand and gravel aquifers (glaciated regions),,"Stratified Deposits, Undifferentiated",Unconfined single aquifer,19981113,20.0,ft,20,ft,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_SAIR_19,Saugus River,River/Stream,,01090001,,,,,42.4694000000,-71.0072000000,0,,,Interpolation-Other,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NETN_SAIR_20,Turning Basin,River/Stream,,01090001,,,,,42.4689000000,-71.0077000000,0,,,Interpolation-Other,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA026091-1,Steps - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5334100000,-70.8695700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA035626-1,Broady (Baker) - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2570900000,-70.9718200000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA050037-1,Lynch Park - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5451600000,-70.8600600000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA053694-1,Short - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.4293000000,-70.9316700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA082695-1,Good Harbor Creek - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6180900000,-70.6356500000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA124463-1,Tenean (DCR) - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2930000000,-71.0431400000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,025,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA129354-1,Front Beach - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6509400000,-70.7449800000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA133692-1,Delano Ave. - location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2585700000,-70.9794200000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA136039-1,A Street Bay Side - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2912300000,-70.8835800000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA140145-1,Lovell's Island (DCR) - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.3274600000,-70.9272000000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,025,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA186288-1,Pavilion-Main,BEACH Program Site-Ocean,,01090001,,,,,42.6995000000,-70.7917600000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA203090-1,Wollaston @ Milton Street (DCR) - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2814000000,-71.0176400000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA218585-1,Mingo - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5506700000,-70.8395600000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA241658-1,Grandview - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.3605100000,-70.9752200000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,025,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA282318-1,Children's Island - Back - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5110100000,-70.8134900000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA311883-1,Norton Beach - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2636100000,-70.9858300000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA319129-1,Clammer's Beach - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6485900000,-70.7437700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA334369-1,1,BEACH Program Site-Ocean,,01090001,,,,,42.4195100000,-70.9072700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA335584-1,Edgewater - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2758700000,-70.8727100000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA336945-1,Ocean Avenue - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5088400000,-70.8873200000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA342299-1,Orchard Street - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2979700000,-71.0057900000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA351168-1,Osgood - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5037100000,-70.8863100000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA374356-1,Little Neck - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6938700000,-70.7929400000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA425571-1,Children's Island - Dock - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5141800000,-70.8177000000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA452184-1,West Manchester - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5650800000,-70.7864500000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA459982-3,Pleasure Bay (DCR)-South flagpole,BEACH Program Site-Ocean,,01090001,,,,,42.3334100000,-71.0223800000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,025,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA459982-4,Pleasure Bay (DCR) - location 4,BEACH Program Site-Ocean,,01090001,,,,,42.3330800000,-71.0218600000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,025,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA471378-1,Front Beach - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6592000000,-70.6210700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA476242-1,Hingham Town Beach - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2482500000,-70.8881900000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA538327-1,Grace Oliver - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5147600000,-70.8462500000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA541879-1,Tudor - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.4242100000,-70.9205700000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA562850-1,Wollaston @ Rice Road (DCR) - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2751600000,-71.0033200000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,021,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA566757-1,James Ave. - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.3006300000,-70.9070800000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA596706-1,Juniper Point - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5341400000,-70.8658900000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA613695-1,Newport - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.2842900000,-70.8810500000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA631341-1,Pebble - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.6357800000,-70.6000400000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA637345-1,Willows Pier - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5359900000,-70.8676800000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA641809-1,Brackenbury - Location 1,BEACH Program Site-Ocean,,01090001,,,,,42.5505000000,-70.8516600000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,009,,,,,,,,,,STORET
21MABCH,Massachusetts Dept. of Public Health,21MABCH-MA644600-2,Peddocks Island (DCR)-Perry Cove,BEACH Program Site-Ocean,,01090001,,,,,42.2911100000,-70.9419400000,100000,,,Interpolation-Map,NAD83,,,,,,,US,25,023,,,,,,,,,,STORET
